type_clothes,price,address,image_link-src
Vêtements homme,Prix sur demande,"Adzopé, Côte d'Ivoire",https://images.coinafrique.com/thumb_2799151_uploaded_image1_1606814375.jpg
Ensemble homme et femme,15 000CFA,"Adzopé, Côte d'Ivoire",https://images.coinafrique.com/thumb_2799148_uploaded_image1_1606814334.jpg
Complet homme,45 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2798006_uploaded_image1_1606765307.jpg
T shirt Off White homme,7 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2797560_uploaded_image1_1606751250.jpg
Pantalon jeans homme,13 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2797442_uploaded_image1_1606748425.jpg
T-shirt CDG,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2797433_uploaded_image2_1606748067.jpeg
Chemises homme,9 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796955_uploaded_image1_1606737846.jpg
Chemises homme,9 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796947_uploaded_image1_1606737686.jpg
Chemises homme,9 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796944_uploaded_image1_1606737621.jpg
Pulls homme,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796680_uploaded_image1_1606733501.jpg
Chemise homme,9 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796584_uploaded_image1_1606731258.jpg
Veste 2 pièces,40 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796581_uploaded_image1_1606731177.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796580_uploaded_image1_1606731167.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796569_uploaded_image1_1606730968.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796564_uploaded_image1_1606730869.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796557_uploaded_image1_1606730752.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796552_uploaded_image1_1606730656.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2796546_uploaded_image1_1606730566.jpg
T-shirts,5 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2795878_uploaded_image1_1606689507.jpg
Blouses,15 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2795454_uploaded_image1_1606670844.jpg
Pantalon,8 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2795249_uploaded_image1_1606662837.jpg
Shorts multi couleurs homme,7 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2795245_uploaded_image1_1606662710.jpg
Polo coton,5 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2795053_uploaded_image1_1606655234.jpg
