type_shoes,price,address,image_link-src
Baskets All Star Converse,16 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3599701_uploaded_image1_1646765050.jpg
Mocassins homme,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3599286_uploaded_image2_1646749123.jpeg
Boots Tom Ford,50 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3598411_uploaded_image1_1646694406.jpg
Baskets Nike Air Max,16 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3598398_uploaded_image1_1646693872.jpg
Mocassins en cuir,18 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3598092_uploaded_image1_1646677707.jpg
Mocassins Tods homme,18 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3598090_uploaded_image1_1646677563.jpg
Chaussures homme,18 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597979_uploaded_image1_1646673788.jpg
Chaussures Fashion,20 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597971_uploaded_image1_1646673603.jpg
Baskets Nike Air,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597962_uploaded_image1_1646673227.jpg
Baskets Adidas,18 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3560778_uploaded_image1_1644417434.jpg
Chaussures Sneakers Timberland homme,16 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3558970_uploaded_image1_1644323646.jpg
Baskets Lacoste,18 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3558965_uploaded_image1_1644323505.jpg
Baskets Nike Air Jordan,45 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3558955_uploaded_image1_1644323320.jpg
Chaussures homme,17 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597731_uploaded_image1_1646664729.jpg
Chaussures homme,17 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597223_uploaded_image1_1646648069.jpg
Chaussures Hansberg,60 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597195_uploaded_image1_1646647060.jpg
Baskets Nike 97,20 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597039_uploaded_image1_1646638601.jpg
Mocassins homme,25 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597037_uploaded_image3_1646638498.jpeg
Chaussures Yeezy Boots,20 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3597032_uploaded_image1_1646638355.jpg
